Actividad,Ciudad,Departamento,Direccion,Link,Nombre_Empresa,Tema_Busqueda,telefono
Comercio al por mayor de computadores equipo periferico y programas de informatica,MEDELLIN,ANTIOQUIA,CARRERA 50 C 10 S 120 LOC120,http://empresite.eleconomistaamerica.co/COMPUTING-UNLIMITED-LTDA.html,COMPUTING UNLIMITED LTDA,CLOUD-COMPUTING,(4)3614483
Actividades de desarrollo de sistemas informaticos (planificacion analisis diseño programacion pruebas),RIONEGRO,ANTIOQUIA,CALLE 46 50 37 BLOQUE 5 OF 403 CC CORDOBA,http://empresite.eleconomistaamerica.co/CLOUDONE-SAS.html,CLOUDONE S A S,CLOUD-COMPUTING,3226541831
Actividades de telecomunicaciones alambricas,SANTAFE DE ANTIOQUIA,ANTIOQUIA,CALLE 13 7 21 MALL LA LO,http://empresite.eleconomistaamerica.co/CLOUD-MEDIA-SAS.html,CLOUD MEDIA S A S,CLOUD-COMPUTING,(4)8531209
Otras actividades de servicio de apoyo a las empresas n c p,MEDELLIN,ANTIOQUIA,CALLE 67 52 20 PISO 3 OF,http://empresite.eleconomistaamerica.co/CLOUDTASK-SAS.html,CLOUDTASK S A S,CLOUD-COMPUTING,3166861920
Actividades de consultoria informatica y actividades de administracion de instalaciones informaticas,MEDELLIN,ANTIOQUIA,CALLE 13 75 04,http://empresite.eleconomistaamerica.co/CLOUDBOX-SAS.html,CLOUDBOX S A S,CLOUD-COMPUTING,(4)3436048
Actividades de desarrollo de sistemas informaticos (planificacion analisis diseño programacion pruebas),MEDELLIN,ANTIOQUIA,CALLE 7 SUR 42 70 PISO 4,http://empresite.eleconomistaamerica.co/CLOUDLAND-SA.html,CLOUDLAND S A,CLOUD-COMPUTING,(4)4442280
Procesamiento de datos alojamiento (hosting) y actividades relacionadas,SABANETA,ANTIOQUIA,CARRERA 38 75 B SUR 115,http://empresite.eleconomistaamerica.co/CLOUD-ME-SAS.html,CLOUD ME S A S,CLOUD-COMPUTING,(4)5993817
Actividades de desarrollo de sistemas informaticos (planificacion analisis diseño programacion pruebas),MEDELLIN,ANTIOQUIA,CALLE 18 B SUR 38 54 INT 1805,http://empresite.eleconomistaamerica.co/CLOUD-SF-SAS.html,CLOUD SF S A S,CLOUD-COMPUTING,(4)5799350
Fabricacion de equipo de medicion prueba navegacion y control,MEDELLIN,ANTIOQUIA,CARRERA 80 B 8 SUR 36 BL 5 A,http://empresite.eleconomistaamerica.co/CLOUDTHINX-SAS.html,INNOVACION EN SERVICIOS TECNOLOGICOS SAS,CLOUD-COMPUTING,3005379465
Actividades de desarrollo de sistemas informaticos (planificacion analisis diseño programacion pruebas),MEDELLIN,ANTIOQUIA,CARRERA 28 29 190 URB COLI,http://empresite.eleconomistaamerica.co/CLOUD-GROUP-CORP-SAS.html,CLOUD GROUP CORP S A S,CLOUD-COMPUTING,3108311240
