Actividad,Ciudad,Departamento,Direccion,Link,Nombre_Empresa,Tema_Busqueda,telefono
Comercio al por mayor de productos textiles productos confeccionados para uso domestico,ENVIGADO,ANTIOQUIA,CARRERA 46 39 SUR 47,http://empresite.eleconomistaamerica.co/CREACIONES-PINTOLOSA-SAS.html,CREACIONES PINTOLOSA S A S,FORMACION-CONFECCION,(4)2769795
Educacion media tecnica y de formacion laboral,MEDELLIN,ANTIOQUIA,CALLE 49 41 09,http://empresite.eleconomistaamerica.co/CESDE-SA.html,CESDE S A,FORMACION-CONFECCION,(4)4808822
Comercio al por mayor de otros tipos de maquinaria y equipo n c p,MEDELLIN,ANTIOQUIA,CALLE 48 48 14 OF 608,http://empresite.eleconomistaamerica.co/FORMACION-TIC-SAS.html,FORMACION Y TIC S A S,FORMACION-CONFECCION,(4)5136303
Actividades de consultaria de gestion,MEDELLIN,ANTIOQUIA,CARRERA 74 53 162 ARTO 406,http://empresite.eleconomistaamerica.co/FORMACION-NUEVO-SIGLO-EU.html,FORMACION NUEVO SIGLO E U,FORMACION-CONFECCION,(4)2608963
Actividades de consultaria de gestion,ENVIGADO,ANTIOQUIA,CALLE 48F SUR 39 B 314 1210,http://empresite.eleconomistaamerica.co/FORMACION-PROYECTOS-SAS.html,FORMACION Y PROYECTOS S A S,FORMACION-CONFECCION,(4)3024369
Formacion academica no formal,MEDELLIN,ANTIOQUIA,DIAGONAL 79 A 5 299 BLOQUE 15,http://empresite.eleconomistaamerica.co/FORMACION-ESTRATEGICA-SAS.html,FORMACION ESTRATEGICA S A S,FORMACION-CONFECCION,3165291893
Otros tipos de educacion n c p,MEDELLIN,ANTIOQUIA,CARRERA 72 A 31 51 INT 202,http://empresite.eleconomistaamerica.co/FORMACION-BRIGADAS-EMERGENCIA-SAS.html,FORMACION DE BRIGADAS DE EMERGENCIA S A S,FORMACION-CONFECCION,3117537350
Otras actividades de atencion de la salud humana,MEDELLIN,ANTIOQUIA,,http://empresite.eleconomistaamerica.co/FORMACION-INTEGRAL-PARA-EMERGENCIAS-LTDA.html,FORMACION INTEGRAL PARA EMERGENCIAS LTDA,FORMACION-CONFECCION,(4)2681561
Actividades de consultaria de gestion,MEDELLIN,ANTIOQUIA,CALLE 52 47 28 EDIFICIO,http://empresite.eleconomistaamerica.co/FORMACION-CALIDAD-NUTRICION-SAS.html,FORMACION DE CALIDAD Y NUTRICION S A S,FORMACION-CONFECCION,3148623126
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CALLE 49 50 21 OF 2203,http://empresite.eleconomistaamerica.co/SS-SOCIEDAD-SECRETA-SA.html,SS SOCIEDAD SECRETA S A,FORMACION-CONFECCION,(4)5120098
Confeccion de prendas de vestir excepto prendas de piel,ITAGUI,ANTIOQUIA,CARRERA 48 75 A 37,http://empresite.eleconomistaamerica.co/CI-PACK-BLUE-SAS.html,C I PACK BLUE S A S,FORMACION-CONFECCION,(4)3743637
Preparacion del terreno,MEDELLIN,ANTIOQUIA,CARRERA 35 A 15 B 35,http://empresite.eleconomistaamerica.co/SERVICIOS-INGENIERIA-CIVIL-SA.html,SERVICIOS DE INGENIERIA CIVIL S A,FORMACION-CONFECCION,(4)4484502
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CARRERA 71 A 92 D 06,http://empresite.eleconomistaamerica.co/CONFECCIONES-92D-SAS.html,CONFECCIONES LA 92D S A S,FORMACION-CONFECCION,(4)4381245
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CALLE 48 57 87 LOCAL 703,http://empresite.eleconomistaamerica.co/CONFECCIONES-SMM-SAS.html,CONFECCIONES SMM S A S,FORMACION-CONFECCION,(4)5127739
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CALLE 7 SUR 51 A 21,http://empresite.eleconomistaamerica.co/CONFECCIONES-GAMA-EU.html,CONFECCIONES GAMA E U,FORMACION-CONFECCION,(4)3651210
Acabado de productos textiles,BELLO,ANTIOQUIA,CARRERA 52 55 97,http://empresite.eleconomistaamerica.co/CONFECCIONARTE-SAS.html,CONFECCIONARTE SAS,FORMACION-CONFECCION,(4)4445778
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CARRERA 56 49 47 OF 501,http://empresite.eleconomistaamerica.co/CONFECCIONES-Z5-EAT.html,CONFECCIONES Z5 E A T EN LIQUIDACION,FORMACION-CONFECCION,(4)2318569
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CALLE 30 72 46 PISO 3,http://empresite.eleconomistaamerica.co/CONFECCIONES-JYMSAS.html,CONFECCIONES J Y M S A S,FORMACION-CONFECCION,(4)5895555
Confeccion de prendas de vestir excepto prendas de piel,GUARNE,ANTIOQUIA,CARRERA 51 56 74,http://empresite.eleconomistaamerica.co/CONFECCIONES-MAC-SAS.html,CONFECCIONES MAC S A S,FORMACION-CONFECCION,3116321808
Confección de prendas de vestir,MEDELLIN,ANTIOQUIA,CL 7 SUR 51 A 21 L 168,http://empresite.eleconomistaamerica.co/CONFECCIONES-ZYZSAS.html,CONFECCIONES Z Y Z S A S,FORMACION-CONFECCION,(4)3618605
Comercio al por menor de prendas de vestir y sus accesorios (incluye articulos de piel) en establecimientos especializados,BELLO,ANTIOQUIA,CARRERA 50 29 A 39 BG 135,http://empresite.eleconomistaamerica.co/CONFECCIONES-JARU-SA.html,CONFECCIONES JARU S A,FORMACION-CONFECCION,(4)4511413
Comercio al por menor de productos textiles en establecimientos especializados,ITAGUI,ANTIOQUIA,CARRERA 40 54 155,http://empresite.eleconomistaamerica.co/CONFECCIONES-NVSAS.html,CONFECCIONES N V S A S,FORMACION-CONFECCION,(4)3740729
Confeccion de prendas de vestir excepto prendas de piel,ITAGUI,ANTIOQUIA,CARRERA 51 A 46 40 IN 401,http://empresite.eleconomistaamerica.co/CONFECCIONES-FIT-SAS.html,CONFECCIONES FIT S A S,FORMACION-CONFECCION,(4)3040189
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CALLE 40 74 74,http://empresite.eleconomistaamerica.co/CONFECCIONES-JYF-SAS.html,CONFECCIONES J Y F SAS,FORMACION-CONFECCION,(4)4164472
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CALLE 1 SUR 75 DA 229,http://empresite.eleconomistaamerica.co/CONFECCIONES-GEOS-EU.html,CONFECCIONES GEOS E U EN LIQUIDACION,FORMACION-CONFECCION,(4)3422574
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CALLE 38 SU  60 D 75,http://empresite.eleconomistaamerica.co/CONFECCIONES-JGO-SAS.html,CONFECCIONES JGO S A S,FORMACION-CONFECCION,(4)5841140
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CARRERA 46 38 62,http://empresite.eleconomistaamerica.co/CONFECCIONES-GYQ-SAS.html,CONFECCIONES GYQ S A S,FORMACION-CONFECCION,(4)3202630
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CALLE 70 B 27 05,http://empresite.eleconomistaamerica.co/CONFECCIONES-AIGSAS.html,CONFECCIONES A I G S A S,FORMACION-CONFECCION,(4)2843506
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CARRERA 51 9 A SUR 01 INT,http://empresite.eleconomistaamerica.co/CONFECCIONES-LYH-SAS.html,CONFECCIONES LYH S A S,FORMACION-CONFECCION,(4)2855185
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CALLE 40 A SUR 63 B 53 270,http://empresite.eleconomistaamerica.co/CONFECCIONES-RL-SAS.html,CONFECCIONES RL S A S,FORMACION-CONFECCION,(4)2866454
Confeccion de prendas de vestir excepto prendas de piel,DON MATIAS,ANTIOQUIA,CARRERA 31 28 05,http://empresite.eleconomistaamerica.co/CONFECCIONES-LYA-SAS.html,CONFECCIONES LYA S A S,FORMACION-CONFECCION,3107031483
Confeccion de prendas de vestir excepto prendas de piel,DON MATIAS,ANTIOQUIA,CARRERA 31 28 05,http://empresite.eleconomistaamerica.co/CONFECCIONES-JA-SAS.html,CONFECCIONES JA S A S,FORMACION-CONFECCION,3107031483
Comercio al por mayor de productos textiles productos confeccionados para uso domestico,ITAGUI,ANTIOQUIA,CARRERA 54 79 30 IN 207,http://empresite.eleconomistaamerica.co/CONFECCIONES-ANIL-SA.html,CONFECCIONES ANIL S A,FORMACION-CONFECCION,(4)4441188
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CALLE 25 58 10,http://empresite.eleconomistaamerica.co/CONFECCIONES-ZL-LTDA.html,CONFECCIONES Z L LTDA,FORMACION-CONFECCION,(4)2638235
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CARRERA 90 44 C 61,http://empresite.eleconomistaamerica.co/CONFECCIONES-LUP-SAS.html,CONFECCIONES LUP S A S,FORMACION-CONFECCION,(4)2990204
Confeccion de prendas de vestir excepto prendas de piel,ITAGUI,ANTIOQUIA,CALLE 69 52 D 11,http://empresite.eleconomistaamerica.co/CONFECCIONES-RFOSAS.html,CONFECCIONES R F O S A S,FORMACION-CONFECCION,(4)3721232
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CALLE 63 80 A 105,http://empresite.eleconomistaamerica.co/CONFECCIONES-ZO-LTDA.html,CONFECCIONES Z O LTDA,FORMACION-CONFECCION,(4)1641300
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CALLE 44 75 55,http://empresite.eleconomistaamerica.co/CONFECCIONES-LEOS-EU.html,CONFECCIONES LEOS E U,FORMACION-CONFECCION,(4)2509315
