,Actividad,Ciudad,Departamento,Direccion,Link,Nombre_Empresa,Tema_Busqueda,telefono
0,Comercio al por mayor de materiales de construccion articulos de ferreteria pinturas productos de vidrio equipo y materiales de fontaneria y calefaccion,ITAGUI,ANTIOQUIA,CARRERA 42 51 34,http://empresite.eleconomistaamerica.co/FERRAGRO-SAS.html,FERRAGRO S A S,ENERGIA-SOLAR-FOTOVOLTAICA,3117207435
1,Comercio al por mayor no especializado,MEDELLIN,ANTIOQUIA,CALLE 50 68 105,http://empresite.eleconomistaamerica.co/ENERGIA-SOLAR-COLOMBIA-SAS.html,ENERGIA SOLAR COLOMBIA S A S,ENERGIA-SOLAR-FOTOVOLTAICA,(4)4771309
2,Instalaciones de fontaneria calefaccion y aire acondicionado,MEDELLIN,ANTIOQUIA,CALLE 51 21 27,http://empresite.eleconomistaamerica.co/INDUSTRIA-COLOMBO-ESPANOLA-ENERGIA-SOLAR-SAS.html,INDUSTRIA COLOMBO ESPANOLA DE ENERGIA SOLAR S A S,ENERGIA-SOLAR-FOTOVOLTAICA,3155649552
3,Generacion de energia electrica,MEDELLIN,ANTIOQUIA,CALLE 10 SU  52 06,http://empresite.eleconomistaamerica.co/ESI-ENERGIA-SOLAR-SAS.html,ESI ENERGIA SOLAR S A S,ENERGIA-SOLAR-FOTOVOLTAICA,3206083907
4,Comercio al por mayor de materiales de construccion articulos de ferreteria pinturas productos de vidrio equipo y materiales de fontaneria y calefaccion,ITAGUI,ANTIOQUIA,CARRERA 42 51 34,http://empresite.eleconomistaamerica.co/FERRAGRO-SAS.html,FERRAGRO S A S,ENERGIA-SOLAR,3117207435
5,Comercio al por mayor no especializado,MEDELLIN,ANTIOQUIA,CALLE 50 68 105,http://empresite.eleconomistaamerica.co/ENERGIA-SOLAR-COLOMBIA-SAS.html,ENERGIA SOLAR COLOMBIA S A S,ENERGIA-SOLAR,(4)4771309
6,Actividades de arquitectura e ingenieria y otras actividades conexas de consultoria tecnica,MEDELLIN,ANTIOQUIA,CARRERA 10 19 SUR 117 INTE,http://empresite.eleconomistaamerica.co/SOLARC-SAS.html,SOLARC S A S,ENERGIA-SOLAR,(4)3170739
7,Instalaciones de fontaneria calefaccion y aire acondicionado,MEDELLIN,ANTIOQUIA,CALLE 51 21 27,http://empresite.eleconomistaamerica.co/INDUSTRIA-COLOMBO-ESPANOLA-ENERGIA-SOLAR-SAS.html,INDUSTRIA COLOMBO ESPANOLA DE ENERGIA SOLAR S A S,ENERGIA-SOLAR,3155649552
8,Generacion de energia electrica,MEDELLIN,ANTIOQUIA,CALLE 10 SU  52 06,http://empresite.eleconomistaamerica.co/ESI-ENERGIA-SOLAR-SAS.html,ESI ENERGIA SOLAR S A S,ENERGIA-SOLAR,3206083907
9,Fabricacion de otros tipos de equipo electrico n c p,BELLO,ANTIOQUIA,CALLE 35 56 26 APTO 1006,http://empresite.eleconomistaamerica.co/SOLAREC-SAS.html,LABORATORIO DE ENSAYOS TECNICOS S A S,ENERGIA-SOLAR,(4)4172821
10,Comercio al por menor de tapices alfombras y cubrimientos para paredes y pisos en establecimientos especializados,CALDAS,ANTIOQUIA,CALLE 128 SUR 54 69 AP 301,http://empresite.eleconomistaamerica.co/SOLAR-BLINDS-SAS.html,SOLAR BLINDS S A S,ENERGIA-SOLAR,(4)5883888
11,Fabricacion de articulos de plastico n c p,MEDELLIN,ANTIOQUIA,CALLE 51 65 208 APTO 422,http://empresite.eleconomistaamerica.co/SOLAR-CERCAS-SAS.html,SOLAR CERCAS S A S,ENERGIA-SOLAR,3185062044
12,Instalaciones electricas,MEDELLIN,ANTIOQUIA,CARRERA 43 A 1 50,http://empresite.eleconomistaamerica.co/SOLARGREEN-SAS.html,SOLARGREEN S A S,ENERGIA-SOLAR,(4)6052073
13,Fabricacion de jabones y detergentes preparados para limpiar y pulir perfumes y preparados de tocador,ITAGUI,ANTIOQUIA,CARRERA 45 A 67 B 109,http://empresite.eleconomistaamerica.co/SOLAR-FIRE-SAS.html,SOLAR FIRE S A S,ENERGIA-SOLAR,3023716599
14,Comercio al por mayor no especializado,ITAGUI,ANTIOQUIA,CARRERA 42 75 331,http://empresite.eleconomistaamerica.co/SOLARED-SAS.html,SOLARED S A S,ENERGIA-SOLAR,3108953429
15,Expendio a la mesa de comidas preparadas,ENVIGADO,ANTIOQUIA,VIA PALMAS EL RETIRO KM 16,http://empresite.eleconomistaamerica.co/SOLAR-PLAZA-SAS.html,EL SOLAR DE LA PLAZA S.A.S.,ENERGIA-SOLAR,3116345243
16,Comercio al por mayor de otros tipos de maquinaria y equipo n c p,MEDELLIN,ANTIOQUIA,TRANSVERSAL 4 A 75 D 98,http://empresite.eleconomistaamerica.co/SENSORES-EQUIPOS-SAS.html,SENSORES Y EQUIPOS S A S,ENERGIA-SOLAR,(4)2568301
17,Otras actividades de servicios personales n c p,MEDELLIN,ANTIOQUIA,CARRERA 24 34 22,http://empresite.eleconomistaamerica.co/SOLARIS-ANOS-LUZ-SAS.html,SOLARIS ANOS LUZ S A S,ENERGIA-SOLAR,(4)5778475
18,Comercio al por menor de electrodomesticos y gasodomesticos de uso domestico muebles y equipos de iluminacion,MEDELLIN,ANTIOQUIA,CARRERA 48 10 45 LC 246,http://empresite.eleconomistaamerica.co/SOLAR-MEDELLIN-LTDA.html,SOLAR MEDELLIN LTDA,ENERGIA-SOLAR,(4)3523152
19,Fabricacion de otros tipos de equipo electrico n c p,MEDELLIN,ANTIOQUIA,CALLE 10 32 115 LC 9919,http://empresite.eleconomistaamerica.co/SOLARPLUS-ENERGY-SAS.html,SOLARPLUS ENERGY S A S,ENERGIA-SOLAR,(4)4483363
20,Generacion de energia electrica,ENVIGADO,ANTIOQUIA,CALLE 23 SUR 45 55,http://empresite.eleconomistaamerica.co/SOLAR-ELECTRIC-SAS.html,SOLAR ELECTRIC S A S,ENERGIA-SOLAR,3002764977
21,Generacion de energia electrica,MEDELLIN,ANTIOQUIA,CALLE 10 30 30 OF 316,http://empresite.eleconomistaamerica.co/SOLAR-SOLUTIONS-SAS.html,SOLAR SOLUTIONS S A S,ENERGIA-SOLAR,(4)3523614
22,Comercio al por mayor no especializado,MEDELLIN,ANTIOQUIA,CALLE 45 53 50 OF 1117,http://empresite.eleconomistaamerica.co/SOLAR-EVOLUTION-SAS.html,SOLAR EVOLUTION S A S,ENERGIA-SOLAR,3206977173
23,Otros tipos de comercio al por menor no realizado en establecimientos puestos de venta o mercados,MEDELLIN,ANTIOQUIA,CARRERA 31 29 71 APT 510,http://empresite.eleconomistaamerica.co/ENERGIAS-VERDES-SAS.html,ENERGIAS VERDES S A S,ENERGIA-SOLAR,3163875793
24,Instalaciones electricas,YARUMAL,ANTIOQUIA,CARRERA 19 18 11,http://empresite.eleconomistaamerica.co/ENERGIANDES-SASESP.html,ENERGIANDES S A S E S P,ENERGIA-SOLAR,3104690317
25,Comercio al por mayor no especializado,MEDELLIN,ANTIOQUIA,CARRERA 87 A 34 64,http://empresite.eleconomistaamerica.co/ENERGIA-MANIOBRA-SAS.html,ENERGIA Y MANIOBRA S A S,ENERGIA-SOLAR,3148755039
26,Comercio al por mayor de otros tipos de maquinaria y equipo n c p,ITAGUI,ANTIOQUIA,CARRERA 45 A 66 A 100,http://empresite.eleconomistaamerica.co/ENERGIA-POTENCIA-SA.html,ENERGIA Y POTENCIA S A S,ENERGIA-SOLAR,3153027526
27,Generacion de energia electrica,MEDELLIN,ANTIOQUIA,CARRERA 35 7 99 PISO 2,http://empresite.eleconomistaamerica.co/ENERGIA-ANDES-SAS.html,ENERGIA DE LOS ANDES S A S,ENERGIA-SOLAR,(4)3124084
28,Generacion de energia electrica,MEDELLIN,ANTIOQUIA,CALLE 42 B 63 C 51,http://empresite.eleconomistaamerica.co/ENERGIA-LIMPIA-SAS.html,ENERGIA LIMPIA S A S,ENERGIA-SOLAR,(4)3512999
29,Actividades de contabilidad teneduria de libros auditoria financiera y asesoria tributaria,MEDELLIN,ANTIOQUIA,VIA CIRCULAR 6 66 B 177,http://empresite.eleconomistaamerica.co/ENERGIA-CREATIVA-SA.html,ENERGIA CREATIVA S A,ENERGIA-SOLAR,(4)3684010
30,Instalaciones electricas,BELLO,ANTIOQUIA,CARRERA 57 A 30 B 05,http://empresite.eleconomistaamerica.co/ENERGIA-ACTIVA-SAS.html,ENERGIA ACTIVA S A S,ENERGIA-SOLAR,(4)4667693
31,Instalaciones electricas,BELLO,ANTIOQUIA,CALLE 32 A 55 86,http://empresite.eleconomistaamerica.co/ENERGIA-GLOBAL-SAS.html,ENERGIA GLOBAL S A S,ENERGIA-SOLAR,(4)4665425
32,Comercio al por mayor de equipo partes y piezas electronicos y de telecomunicaciones,MEDELLIN,ANTIOQUIA,CARRERA 65 B 52 B SUR 54 INT,http://empresite.eleconomistaamerica.co/ENERGIA-SISTEMAS-SAS.html,ENERGIA Y SISTEMAS S A S,ENERGIA-SOLAR,(4)4480590
33,Otras actividades de servicio financiero excepto las de seguros y pensiones n c p,MEDELLIN,ANTIOQUIA,CALLE 29 41 105 OF 603,http://empresite.eleconomistaamerica.co/SOLAR-HOTELES-RESORTS-SAS.html,SOLAR HOTELES Y RESORTS S A S,ENERGIA-SOLAR,(4)4195900
34,Cultivo de flor de corte,LA ESTRELLA,ANTIOQUIA,CALLE 83 A SUR 63 07 CA 70,http://empresite.eleconomistaamerica.co/SOLAR-JM-AGROINDUSTRIA-SAS.html,EL SOLAR JM AGROINDUSTRIA S A S,ENERGIA-SOLAR,3137912163
35,Generacion de energia electrica,MEDELLIN,ANTIOQUIA,CALLE 11 A 31 A 89,http://empresite.eleconomistaamerica.co/SOLAR-POWER-SOLUTIONS-SASESP.html,SOLAR POWER SOLUTIONS S A S E S P,ENERGIA-SOLAR,(4)3666122
36,Instalaciones electricas,MEDELLIN,ANTIOQUIA,CALLE 39 92 A 25 OFICINA,http://empresite.eleconomistaamerica.co/ENERGIA-DATOS-INGENIERIA-SAS.html,ENERGIA Y DATOS INGENIERIA S A S,ENERGIA-SOLAR,(4)4989954
37,Actividades de arquitectura e ingenieria y otras actividades conexas de consultoria tecnica,MEDELLIN,ANTIOQUIA,CALLE 7 SUR 42 70 INT 2007,http://empresite.eleconomistaamerica.co/ENERGIA-NACIONAL-SASESP.html,ENERGIA NACIONAL S A S E S P,ENERGIA-SOLAR,(4)3131339
38,Actividades de administracion empresarial,MEDELLIN,ANTIOQUIA,CARRERA 30 10 C 228 OF 929,http://empresite.eleconomistaamerica.co/ENERGIAS-SUROESTE-SAS.html,ENERGIAS DE SUROESTE S A S,ENERGIA-SOLAR,(4)3114327
39,Generacion de energia electrica,MEDELLIN,ANTIOQUIA,CARRERA 35 7 99 PISO 2,http://empresite.eleconomistaamerica.co/ENERGIAS-RIO-AMBEIMA-SAS.html,ENERGIAS DEL RIO AMBEIMA S A S,ENERGIA-SOLAR,(4)3124084
40,Generacion de energia electrica,MEDELLIN,ANTIOQUIA,CARRERA 35 7 99 P 2,http://empresite.eleconomistaamerica.co/ENERGIAS-RIO-CHILI-SAS.html,ENERGIAS DEL RIO CHILI S A S,ENERGIA-SOLAR,(4)3124084
41,Actividades de consultaria de gestion,MEDELLIN,ANTIOQUIA,CALLE 7 81 B 13INT 2202,http://empresite.eleconomistaamerica.co/ENERGIA-PARA-TRIUNFAR-SAS.html,ENERGIA PARA TRIUNFAR S A S,ENERGIA-SOLAR,(4)4441134
42,Generacion de energia electrica,RIONEGRO,ANTIOQUIA,CALLE 45 CR 50 35 OF 117,http://empresite.eleconomistaamerica.co/ENERGIA-SERVICIOS-SA-ESP.html,ENERGIA Y SERVICIOS SA E S P,ENERGIA-SOLAR,(4)5661717
43,Comercio al por mayor no especializado,MEDELLIN,ANTIOQUIA,CALLE 9 B 70 B 62,http://empresite.eleconomistaamerica.co/ENERGIA-COMPLEMENTOS-SA.html,ENERGIA Y COMPLEMENTOS S A,ENERGIA-SOLAR,(4)3414177
44,Actividades inmobiliarias realizadas con bienes propios o arrendados,MEDELLIN,ANTIOQUIA,CALLE 7 SUR 51 A 21 INT 170,http://empresite.eleconomistaamerica.co/ENERGIA-PROPIEDADES-SAS.html,ENERGIA Y PROPIEDADES S A S,ENERGIA-SOLAR,(4)3116565
45,Instalaciones de fontaneria calefaccion y aire acondicionado,ENVIGADO,ANTIOQUIA,CARRERA 41 40 F SUR 22,http://empresite.eleconomistaamerica.co/ENERGIA-BIOCLIMATICA-SAS.html,ENERGIA Y BIOCLIMATICA S A S,ENERGIA-SOLAR,3216395195
46,Comercio al por mayor no especializado,ITAGUI,ANTIOQUIA,CARRERA 65 35 26,http://empresite.eleconomistaamerica.co/ENERGIA-SAS-ANTIOQUIA.html,ENERGIA S A S,ENERGIA-SOLAR,(4)4805470
47,Otras actividades especializadas para la construccion de edificios y obras de ingenieria civil,MEDELLIN,ANTIOQUIA,CALLE 11 SUR 44 51,http://empresite.eleconomistaamerica.co/ENERGIA-ECOLOGICA-SAS.html,ENERGIA ECOLOGICA S A S,ENERGIA-SOLAR,(4)5812277
48,Actividades de administracion empresarial,MEDELLIN,ANTIOQUIA,CARRERA 30 10 C 228 INT 92,http://empresite.eleconomistaamerica.co/ENERGIAS-PACIFICO-SAS.html,ENERGIAS DEL PACIFICO S A S,ENERGIA-SOLAR,(4)3114327
49,Construccion de edificios residenciales,LA CEJA,ANTIOQUIA,CALLE 5 21 B 21,http://empresite.eleconomistaamerica.co/ENERGIA-RENOVABLE-RR-SAS.html,ENERGIA RENOVABLE RR S A S,ENERGIA-SOLAR,3212303033
50,Instalaciones electricas,BELLO,ANTIOQUIA,CARRERA 67 B 56 B 87,http://empresite.eleconomistaamerica.co/ENERGIA-ESTRUCTURADA-SAS.html,ENERGIA ESTRUCTURADA S A S,ENERGIA-SOLAR,(4)5973981
51,Otras actividades de servicios personales n c p,MEDELLIN,ANTIOQUIA,CALLE 9 41 36,http://empresite.eleconomistaamerica.co/ENERGIA-TERRENAL-SPA-SAS.html,ENERGIA TERRENAL SPA S A S,ENERGIA-SOLAR,(4)4484505
52,Otras actividades recreativas y de esparcimiento n c p,MEDELLIN,ANTIOQUIA,CARRERA 45 38 A SUR 29,http://empresite.eleconomistaamerica.co/ENERGIA-RECREATIVA-EU.html,ENERGIA RECREATIVA E U,ENERGIA-SOLAR,(4)3319912
53,Instalaciones electricas,MEDELLIN,ANTIOQUIA,CALLE 34 81 A 112,http://empresite.eleconomistaamerica.co/ENERGIA-MOVIL-COLOMBIA-SAS.html,ENERGIA MOVIL DE COLOMBIA S A S,ENERGIA-SOLAR,(4)4441605
54,Comercio al por menor de electrodomesticos y gasodomesticos de uso domestico muebles y equipos de iluminacion,ENVIGADO,ANTIOQUIA,CARRERA 48 26 SUR 181,http://empresite.eleconomistaamerica.co/ENERGIA-EVOLUCION-SAS.html,ENERGIA EN EVOLUCION S A S,ENERGIA-SOLAR,3507874637
