Actividad,Ciudad,Departamento,Direccion,Link,Nombre_Empresa,Tema_Busqueda,telefono
Actividades de la practica medica sin internacion,CAUCASIA,ANTIOQUIA,CALLE 22 13 45,http://empresite.eleconomistaamerica.co/IPS-SOMEDIZ-SAS.html,I P S SOMEDIZ S A S,IPS,3206462335
Actividades de la practica medica sin internacion,SEGOVIA,ANTIOQUIA,CALLE 50 48 15 CC DEYFER,http://empresite.eleconomistaamerica.co/IPS-VITAL-SAS.html,I P S VITAL S A S,IPS,3168013831
Actividades de apoyo diagnostico,NECOCLI,ANTIOQUIA,CARRERA 50 52 49,http://empresite.eleconomistaamerica.co/IPS-MAR-VIDA-SAS.html,I P S MAR DE VIDA S A S,IPS,3206879094
Actividades de la practica medica sin internacion,ENVIGADO,ANTIOQUIA,CARRERA 42 38 S 59,http://empresite.eleconomistaamerica.co/IPS-SAFAM-SAS.html,IPS SAFAM S A S,IPS,3008151098
Otras actividades de atencion de la salud humana,MEDELLIN,ANTIOQUIA,CARRERA 37 67 15 INT 201,http://empresite.eleconomistaamerica.co/IPS-SALVAD-SAS.html,I P S SALVAD S A S,IPS,(4)5898371
Actividades de la practica medica sin internacion,CISNEROS,ANTIOQUIA,CALLE 20 22 05,http://empresite.eleconomistaamerica.co/IPS-TESLA-SAS.html,IPS TESLA S A S,IPS,3023425598
Actividades de la practica medica sin internacion,MEDELLIN,ANTIOQUIA,CARRERA 43 A 34 95 P8 CS 818,http://empresite.eleconomistaamerica.co/IPS-DARIEN-SAS.html,IPS DARIEN S A S,IPS,3017716849
Otras actividades de servicios personales n c p,SAN PEDRO,ANTIOQUIA,CARRERA 50 47 9,http://empresite.eleconomistaamerica.co/IPS-GYG-LTDA.html,IPS GYG LTDA,IPS,(4)8686990
Actividades de apoyo terapeutico,SABANETA,ANTIOQUIA,CARRERA 48 61 SUR 231 BL,http://empresite.eleconomistaamerica.co/IPS-FISIO-SAS.html,IPS FISIO S A S,IPS,(4)4443196
Actividades de apoyo diagnostico,PUERTO BERRIO,ANTIOQUIA,CARRERA 6 9 21,http://empresite.eleconomistaamerica.co/IPS-CEDXMIC-SAS.html,I P S CEDXMIC SAS,IPS,3044159273
