Actividad,Ciudad,Departamento,Direccion,Link,Nombre_Empresa,Tema_Busqueda,telefono
Comercio al por mayor de materiales de construccion articulos de ferreteria pinturas productos de vidrio equipo y materiales de fontaneria y calefaccion,MEDELLIN,ANTIOQUIA,CALLE 19 A 43 B 41,https://empresite.eleconomistaamerica.co/DESTILADOS-SOLVENTES-SA.html,CACHARRERIA MUNDIAL S A S,TIENDAS-ESPECIALIZADAS-DE-CAFE,(4)2619100
Comercio al por mayor de productos alimenticios,SALGAR,ANTIOQUIA,CALLE 30 28 69,https://empresite.eleconomistaamerica.co/COOPERATIVA-CAFICULTORES-SALGAR.html,COOPERATIVA DE CAFICULTORES DE SALGAR,TIENDAS-ESPECIALIDAD-CAFE,(4)8442029
Comercio al por mayor de productos alimenticios,SALGAR,ANTIOQUIA,CALLE 30 28 69,https://empresite.eleconomistaamerica.co/COOPERATIVA-CAFICULTORES-SALGAR.html,COOPERATIVA DE CAFICULTORES DE SALGAR,ESPECIALIDAD-CAFE,(4)8442029
Actividades de hospitales y clinicas con internacion,BELLO,ANTIOQUIA,AVENIDA 34 51 03,https://empresite.eleconomistaamerica.co/ESPECIALIDADES-MEDICAS-METROPOLITANAS-SA.html,ESPECIALIDADES MEDICAS METROPOLITANAS S A,ESPECIALIDAD-CAFE,(4)4488980
Comercio al por menor de articulos de ferreteria pinturas y productos de vidrio en establecimientos especializados,MEDELLIN,ANTIOQUIA,CALLE 50 55 80,https://empresite.eleconomistaamerica.co/ESPECIALIDADES-ELECTRICAS-MEDELLIN-LTDA.html,ESPECIALIDADES ELECTRICAS DE MEDELLIN LTDA,ESPECIALIDAD-CAFE,(4)2312255
Actividades de la practica medica sin internacion,RIONEGRO,ANTIOQUIA,CARRERA 55 A 35 251 CITY MEDICA,https://empresite.eleconomistaamerica.co/ESPECIALIDADES-MEDICAS-ANTIOQUIA-SAS.html,ESPECIALIDADES MEDICAS DE ANTIOQUIA S A S,ESPECIALIDAD-CAFE,3226442915
Comercio al por menor de articulos de ferreteria pinturas y productos de vidrio en establecimientos especializados,ENVIGADO,ANTIOQUIA,TRANSVERSAL 32 C SUR 32 B 34,https://empresite.eleconomistaamerica.co/ESPECIALIDADES-TECNICAS-INDUSTRIALES-SAS.html,ESPECIALIDADES TECNICAS INDUSTRIALES S A S,ESPECIALIDAD-CAFE,(4)4489778
Fabricacion de productos farmaceuticos sustancias quimicas medicinales y productos botanicos de uso farmaceutico,MEDELLIN,ANTIOQUIA,CARRERA 37 A 2 SUR 104,https://empresite.eleconomistaamerica.co/ESPECIALIDADES-OFTALMOLOGICAS-SA.html,ESPECIALIDADES OFTALMOLOGICAS S A,ESPECIALIDAD-CAFE,(4)4481918
Cultivo de cafe,MEDELLIN,ANTIOQUIA,CARRERA 111 38 18,https://empresite.eleconomistaamerica.co/CAFE-BOU-SAS.html,CAFE BOU S A S,ESPECIALIDAD-CAFE,(4)5701842
Expendio a la mesa de comidas preparadas,MEDELLIN,ANTIOQUIA,CALLE 48 F SUR  40 03,https://empresite.eleconomistaamerica.co/CAFE-ABATE-SAS.html,CAFE EL ABATE S A S,ESPECIALIDAD-CAFE,3127772935
Descafeinado tostion y molienda del cafe,JARDIN,ANTIOQUIA,CARRERA 2 A 3 20,https://empresite.eleconomistaamerica.co/CAFE-JARDIN-SAS.html,CAFE DE JARDIN S A S,ESPECIALIDAD-CAFE,(4)8455767
Expendio de comidas preparadas en cafeterias,JERICO,ANTIOQUIA,CALLE 7 4 14,https://empresite.eleconomistaamerica.co/CAFE-LAURA-SAS.html,CAFE DE LAURA SAS,ESPECIALIDAD-CAFE,3003750812
Cultivo de cafe,MEDELLIN,ANTIOQUIA,CARRERA 43 A 1 SUR 188 OF906,https://empresite.eleconomistaamerica.co/CAFE-BOTON-LTDA.html,CAFE EL BOTON S A S,ESPECIALIDAD-CAFE,(4)2681601
Descafeinado tostion y molienda del cafe,CIUDAD BOLIVAR,ANTIOQUIA,CARRERA 50 52 06,https://empresite.eleconomistaamerica.co/CAFEEXCOL-SAS.html,CAFEEXCOL S A S,ESPECIALIDAD-CAFE,3154823650
Comercio al por mayor de productos alimenticios,MEDELLIN,ANTIOQUIA,CALLE 7 80 75 INTERIOR,https://empresite.eleconomistaamerica.co/CAFETALERO-SAS.html,CAFETALERO S A S,ESPECIALIDAD-CAFE,3218316377
Comercio al por menor de otros productos alimenticios n c p en establecimientos especializados,MEDELLIN,ANTIOQUIA,CARRERA 64 D 75 05,https://empresite.eleconomistaamerica.co/CAFE-PRAGA-SAS.html,CAFE PRAGA S A S,ESPECIALIDAD-CAFE,3183374686
Trilla de cafe,CAICEDO,ANTIOQUIA,CALLE 4 4 07,https://empresite.eleconomistaamerica.co/CAFE-MONTANA-SAS.html,CAFE LA MONTANA S A S,ESPECIALIDAD-CAFE,3147482358
Actividades inmobiliarias realizadas con bienes propios o arrendados,MEDELLIN,ANTIOQUIA,CALLE 5 A 33 06 CASA 5,https://empresite.eleconomistaamerica.co/CAFE-MANILA-SAS.html,CAFE MANILA S A S,ESPECIALIDAD-CAFE,(4)4132825
Expendio a la mesa de comidas preparadas,SABANETA,ANTIOQUIA,CALLE 69 SUR 45 27,https://empresite.eleconomistaamerica.co/CAFE-MORENO-SAS.html,CAFE MORENO S A S,ESPECIALIDAD-CAFE,(4)5993838
Actividades de administracion empresarial,MEDELLIN,ANTIOQUIA,CALLE 5 A 35 86 APTO 701,https://empresite.eleconomistaamerica.co/CAFERSA-SAS.html,CAFERSA S A S,ESPECIALIDAD-CAFE,(4)3721313
Expendio a la mesa de comidas preparadas,MEDELLIN,ANTIOQUIA,CARRERA 43 A 6 SUR 15,https://empresite.eleconomistaamerica.co/CAFE-LE-GRIS-SA.html,CAFE LE GRIS S A,ESPECIALIDAD-CAFE,(4)3112445
Comercio al por menor de productos textiles en establecimientos especializados,MEDELLIN,ANTIOQUIA,,https://empresite.eleconomistaamerica.co/CAFE-MODA-LTDA.html,CAFE MODA LTDA,ESPECIALIDAD-CAFE,
Comercio al por menor de prendas de vestir y sus accesorios (incluye articulos de piel) en establecimientos especializados,MEDELLIN,ANTIOQUIA,,https://empresite.eleconomistaamerica.co/CAFE-SPORT-LTDA.html,CAFE SPORT LTDA,ESPECIALIDAD-CAFE,
Expendio a la mesa de comidas preparadas,MEDELLIN,ANTIOQUIA,CARRERA 39 8 100,https://empresite.eleconomistaamerica.co/CAFE-ORLEANS-SA.html,CAFE ORLEANS S A,ESPECIALIDAD-CAFE,(4)3520268
Comercio al por mayor de materias primas agropecuarias animales vivos,MEDELLIN,ANTIOQUIA,CALLE 9 43A 31 OF 213,https://empresite.eleconomistaamerica.co/CAFECREMA-EU.html,CAFECREMA E U EN LIQUIDACION,ESPECIALIDAD-CAFE,(4)3521388
